User_ID,Age,Gender,Digital_Persona,UI_Preference,Theme_Choice,Daily_Screen_Time_Hours,Layout_Preference,Device_Type,Accessibility_Features_Used,Usage_Pattern,Click_Rate,Bounce_Rate,Avg_Session_Duration_Min,Weekly_App_Interactions,UI_Satisfaction_Score,Beta_Feature_OptIn,Color_Blind_Mode,Region,Preferred_Font_Size,Voice_Assistant_Use,Push_Notifications,InApp_Feedback_Given,Preferred_Interaction,Custom_Shortcuts_Used,Two_Factor_Enabled,Language,Multi_Device_Use,Cloud_Sync,Personalization_Level
UX1000,56,Non-Binary,Tech-savvy,Adaptive UI,Neon,3.4,Card-based,Tablet,VoiceOver,Evening Only,0.26,0.58,15.6,94,9,True,True,EU,Extra Large,Daily,None,No,Gestures,False,False,Mandarin,False,True,Low
UX1001,46,Other,Maximalist,Silent Mode,Earth Tones,9.5,Custom,iOS,Subtitles,Weekend Use,0.42,0.72,4.9,24,9,True,True,AF,Extra Large,Never,None,No,Tap,False,True,Hindi,False,False,Low
UX1002,32,Female,Minimalist,Notifications Off,Neon,9.7,Card-based,iOS,Magnification,Morning Heavy,0.5,0.7,14.53,20,9,False,True,EU,Medium,Daily,All,Yes,Tap,True,True,Spanish,False,True,None
UX1003,25,Non-Binary,Tech-savvy,High Contrast,Earth Tones,8.6,Grid,Desktop,Magnification,Always On,0.16,0.36,12.02,71,6,True,False,NA,Extra Large,Daily,Important Only,Yes,Tap,False,False,French,True,False,Low
UX1004,38,Male,Minimalist,Adaptive UI,Earth Tones,9.7,List,Desktop,Haptic Feedback,Morning Heavy,0.62,0.59,4.27,53,2,True,False,EU,Extra Large,Never,All,No,Gestures,True,True,Arabic,True,True,High
UX1005,56,Non-Binary,Maximalist,High Contrast,Muted,10.5,Tabular,Desktop,VoiceOver,Always On,0.64,0.8,5.97,62,2,True,False,SA,Small,Daily,All,No,Voice,False,False,French,False,True,Moderate
UX1006,36,Non-Binary,Aesthetic,Dark Mode,Monochrome,8.1,List,Android,None,Evening Only,0.77,0.11,10.43,48,4,True,False,AS,Small,Daily,None,Yes,Tap,False,False,Spanish,False,True,Moderate
UX1007,40,Non-Binary,Minimalist,Silent Mode,Neon,2.9,Card-based,Tablet,Magnification,Night Owl,0.13,0.45,8.95,29,9,True,True,NA,Small,Daily,Important Only,Yes,Tap,False,True,Spanish,False,False,Low
UX1008,28,Other,Trendy,Gesture Nav,Pastel,6.9,Card-based,Android,None,Always On,0.59,0.28,15.79,27,3,True,True,AU,Extra Large,Daily,All,Yes,Gestures,True,False,English,True,False,Moderate
UX1009,28,Male,Eco-conscious,Gesture Nav,Monochrome,2.8,Card-based,Android,None,Night Owl,0.15,0.41,14.95,63,6,True,False,AS,Extra Large,Occasional,None,No,Swipe,False,False,French,True,True,Moderate
UX1010,41,Female,Minimalist,Notifications Off,Earth Tones,6.1,Card-based,Desktop,Color Correction,Always On,0.73,0.43,11.92,5,2,False,True,NA,Large,Occasional,All,No,Gestures,True,False,English,True,True,Moderate
UX1011,53,Male,Traditional,Gesture Nav,Bold,6.1,Custom,iOS,VoiceOver,Weekend Use,0.15,0.7,16.62,19,1,True,False,NA,Small,Never,Important Only,No,Swipe,True,False,Hindi,True,False,High
UX1012,57,Female,Traditional,Notifications Off,Earth Tones,2.7,Grid,Desktop,None,Always On,0.92,0.18,11.69,85,5,False,True,SA,Medium,Daily,All,No,Tap,True,True,French,False,True,High
UX1013,41,Other,Traditional,Gesture Nav,Earth Tones,5.5,Grid,Tablet,VoiceOver,Morning Heavy,0.73,0.51,19.32,85,8,False,True,AU,Extra Large,Never,Important Only,No,Tap,True,True,Mandarin,True,False,Moderate
UX1014,20,Other,Minimalist,Gesture Nav,Neon,3.1,List,Tablet,Color Correction,Evening Only,0.56,0.55,5.13,56,2,True,False,EU,Small,Occasional,None,Yes,Voice,True,False,Hindi,True,False,None
UX1015,39,Other,Traditional,Dark Mode,Earth Tones,10.1,Card-based,Desktop,VoiceOver,Night Owl,0.5,0.5,14.57,62,9,False,False,AU,Large,Daily,None,Yes,Voice,True,False,Mandarin,True,False,None
UX1016,19,Other,Tech-savvy,High Contrast,Monochrome,11.5,List,Tablet,Magnification,Night Owl,0.22,0.69,8.03,45,8,False,True,SA,Small,Daily,All,Yes,Swipe,False,False,French,False,False,None
UX1017,41,Female,Trendy,Notifications Off,Monochrome,2.7,Card-based,iOS,None,Morning Heavy,0.36,0.41,6.3,48,3,True,False,SA,Large,Occasional,None,Yes,Tap,False,True,English,False,True,High
UX1018,47,Non-Binary,Minimalist,High Contrast,Earth Tones,11.6,Custom,Desktop,VoiceOver,Always On,0.88,0.86,4.43,8,1,False,True,SA,Large,Daily,All,No,Tap,False,True,Mandarin,False,False,High
UX1019,55,Female,Traditional,Dark Mode,Earth Tones,7.2,List,Android,Subtitles,Weekend Use,0.91,0.49,11.5,81,4,True,True,AS,Extra Large,Daily,All,Yes,Gestures,False,True,Spanish,True,False,High
UX1020,19,Male,Traditional,Dark Mode,Pastel,5.0,Grid,Android,VoiceOver,Always On,0.1,0.56,5.09,72,8,True,True,AU,Large,Occasional,Important Only,No,Tap,True,True,Arabic,True,False,High
UX1021,38,Other,Tech-savvy,Notifications Off,Monochrome,2.8,Grid,Tablet,None,Morning Heavy,0.63,0.76,4.81,11,3,True,True,AU,Large,Never,All,No,Tap,False,True,English,True,False,Moderate
UX1022,50,Other,Traditional,Notifications Off,Muted,7.0,Card-based,Desktop,Color Correction,Weekend Use,0.75,0.32,19.82,50,2,True,False,NA,Medium,Never,Important Only,Yes,Gestures,False,False,Hindi,False,True,High
UX1023,29,Male,Trendy,Notifications Off,Neon,9.9,Grid,Tablet,Color Correction,Morning Heavy,0.66,0.16,16.23,13,7,True,True,AF,Large,Daily,All,Yes,Gestures,True,True,Hindi,False,False,Moderate
UX1024,39,Female,Aesthetic,Notifications Off,Muted,9.1,List,Android,None,Morning Heavy,0.17,0.67,15.22,91,4,True,True,EU,Medium,Occasional,Important Only,Yes,Tap,False,True,French,True,True,None
UX1025,42,Non-Binary,Eco-conscious,Adaptive UI,Muted,2.5,Card-based,Desktop,Magnification,Always On,0.3,0.49,16.09,37,6,True,True,SA,Medium,Never,None,Yes,Voice,True,False,Hindi,True,False,Moderate
UX1026,44,Non-Binary,Eco-conscious,Gesture Nav,Earth Tones,2.7,List,Android,Magnification,Weekend Use,0.33,0.82,19.41,37,5,False,False,AU,Small,Never,All,Yes,Voice,False,True,Arabic,False,False,None
UX1027,59,Male,Minimalist,High Contrast,Earth Tones,6.0,Card-based,iOS,Color Correction,Always On,0.85,0.89,11.89,88,2,True,True,AU,Small,Daily,Important Only,Yes,Tap,False,False,Arabic,True,True,High
